sourceCode,nameTh,nameEn
00100,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University
00200,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University
00201,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,"Kasetsart University — Campus, Nakhon Pathom (00201)"
00202,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตศรีราชา,"Kasetsart University — Campus, Chon Buri (00202)"
00203,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตเฉลิมพระเกียรติ จังหวัดสกลนคร,"Kasetsart University — Campus, Sakon Nakhon (00203)"
00204,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตสุพรรณบุรี,"Kasetsart University — Campus, Suphan Buri (00204)"
00210,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,"Kasetsart University — Main Campus, Bangkok (00210)"
00300,มหาวิทยาลัยขอนแก่น,Khon Kaen University
00301,มหาวิทยาลัยขอนแก่น วิทยาเขตหนองคาย,"Khon Kaen University — Campus, Nong Khai (00301)"
00400,มหาวิทยาลัยเชียงใหม่,Chiang Mai University
00500,มหาวิทยาลัยธรรมศาสตร์,Thammasat University
00501,มหาวิทยาลัยธรรมศาสตร์ ศูนย์ลำปาง,"Thammasat University — Education Center, Lampang (00501)"
00502,มหาวิทยาลัยธรรมศาสตร์ ศูนยรังสิต,"Thammasat University — Campus, Pathum Thani (00502)"
00503,มหาวิทยาลัยธรรมศาสตร์ ศูนยถาวร-อุษา ประภา(ศูนย์พัทยา),"Thammasat University — Education Center, Chon Buri (00503)"
00600,มหาวิทยาลัยมหิดล,Mahidol University
00601,มหาวิทยาลัยมหิดล วิทยาเขตกาญจนบุรี,"Mahidol University — Campus, Kanchanaburi (00601)"
00602,มหาวิทยาลัยมหิดล วิทยาเขตนครสวรรค์ (โครงการจัดตั้งวิทยาเขต),"Mahidol University — Campus, Nakhon Sawan (00602)"
00603,มหาวิทยาลัยมหิดล วิทยาเขตอำนาจเจริญ,"Mahidol University — Campus, Amnat Charoen (00603)"
00700,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University
00701,มหาวิทยาลัยรามคำแหง วิทยาเขตบางนา,"Ramkhamhaeng University — Campus, Bangkok (00701)"
